scuid,prefgroup,pgsize,agenew,female,race,educ,grad4yr,married,hhsizenew,haskids_in_home,hasyoungkids_in_home,hasteenagers_in_home,hasadultkids_in_home,health,hiIncome,loIncome,residence,blockmv,empFT,empPT,sp_empFT,sp_empPT,bgmincome,hhincome,yrsCurrRes,yrsCurrState,ownhome,movedthismonth,qmv12,qmv11a_1,qmv11b_1,qmv11c_1,qmv7_1,qmv1_1,qmv1a_1,qmv3,medhvalsqft,region,division,divname,regname,total_svy_time,long_svy_time,short_svy_time,rim_4_original,scenord_1,scenord_2,scenord_3,scenord_4,scenord_5,scenord_6,medhvalsqft,nearfam,qmv1a_1,currtaxrate,agreenorms,hiqualsch,loqualsch,violcrimerate,salt,qmv6b,ratio1,x1,x2,x3,x5,x10,x11,x12
127011,74,24,58,0,3,3,1,1,2,0,0,0,0,2,1,0,2,2,0,0,0,0,93750,55000,7,17,1,0,1,,,,60,7,2000,1,186,3,5,South Atl,South,14133.931,1,0,.60020941,,,3,4,1,2,186,1,2000,10,1,0,0,601.83691,.02441795,3,-5.7037826,-350,0,-.59783697,-1,DecC3,4,1
701098,100,6,25,1,1,2,0,0,3,1,0,1,0,2,1,0,2,2,0,0,0,0,33786,55000,5,24,0,0,1,,,,80,5,900,1,71,2,4,W N Central,Midwest,13.1072,0,1,.83745897,,,4,1,3,2,71,1,900,7,1,0,1,724.71307,.71777201,1,6.906755,-350,0,-.59783697,-1,DecC3,4,1
1028057,199,10,59,1,1,4,1,0,1,0,0,0,0,3,1,0,2,2,1,0,0,0,92672,67500,39,59,1,0,3,,,,0,40,2600,2,334,1,2,Mid Atl,Northeast,13.1072,0,1,.48211461,,,2,1,3,4,334,1,2600,12,1,0,0,143.66339,2.0481017,3,6.906755,-350,0,-.59783697,-1,DecC3,4,1
1030657,194,5,29,1,1,4,1,1,4,1,0,1,0,1,1,0,2,2,1,0,0,0,51136,225000,.5,10,0,0,3,,,,50,1,2900,1,221,3,5,South Atl,South,24.029867,0,0,1.0838161,,,1,2,3,4,221,1,2900,12,1,0,0,511.31009,2.3624468,3,2.0794415,-350,0,-.59783697,-1,DecC3,4,1
1033607,152,14,66,1,1,2,0,1,3,1,0,0,1,3,0,1,2,2,0,0,0,0,53017,45000,24,48,1,0,3,,,,1,23,4000,1,168,1,1,New Eng,Northeast,39.321602,0,0,.59087241,,,3,2,4,1,168,1,4000,15,0,0,0,436.27713,1.8238828,3,-5.0106354,-350,0,-.59783697,-1,DecC3,4,1
1035237,119,12,63,1,2,2,0,1,3,1,0,0,1,2,1,0,2,2,0,0,0,0,47332,67500,1,1,1,0,1,,,,0,2,2500,3,80,3,5,South Atl,South,72.0896,0,0,.95129681,,,1,4,2,3,80,0,2500,30,0,0,0,654.10291,.10659585,2,-2.1972246,-350,0,-.59783697,-1,DecC3,4,1
1036007,46,35,72,0,1,2,0,1,2,0,0,0,0,4,0,1,3,2,0,1,0,0,30125,25000,3,3,1,0,3,,,,1,4,1000,3,72,3,5,South Atl,South,65.536003,0,0,1.1455781,,,1,4,3,2,72,1,1000,15,1,0,0,419.47028,1.5282329,3,2.8903718,-350,0,-.59783697,-1,DecC3,4,1
1037107,167,9,35,1,1,4,1,1,2,0,0,0,0,1,1,0,1,2,1,0,0,0,29519,175000,4,9,0,0,1,,,,70,4,500,1,543,4,9,Pacific,West,17.476267,0,0,.8122223,,,2,3,4,1,543,0,500,9.3000002,1,0,0,628.78198,.79795009,2,-6.856462,-350,0,-.59783697,-1,DecC3,4,1
1040617,210,6,58,1,4,3,1,1,2,0,0,0,0,3,1,0,2,2,0,0,0,0,72981,87500,22,58,1,0,3,,,,30,23,2000,2,328,4,9,Pacific,West,26.214399,0,0,.5504511,,,1,3,4,2,328,1,2000,20,1,0,0,336.0278,1.6070298,2,6.906755,-350,0,-.59783697,-1,DecC3,4,1
1045387,198,10,42,1,1,4,1,0,1,0,0,0,0,2,1,0,2,2,1,0,0,0,35000,67500,15,22,1,0,3,,,,42,16,1200,1,93,3,6,E S Central,South,30.583467,0,0,.63066006,,,3,4,1,2,93,0,1200,5,0,0,0,146.31499,2.6523097,3,-1.6094379,-350,0,-.59783697,-1,DecC3,4,1
1046227,45,31,62,0,1,2,0,1,5,1,0,0,1,2,1,0,2,2,0,0,0,0,76230,125000,14,42,1,0,3,,,,0,14,1500,2,96,2,3,E N Central,Midwest,28.398933,0,0,.93504375,,,2,3,4,1,96,1,1500,10,1,0,0,244.27467,1.3621031,3,0,-350,0,-.59783697,-1,DecC3,4,1
